lang,domain,question,correct_answer,llama31_response,llama33_response,wiki_evidence,similarity_score,hallucination_label,llama31_score,llama33_score,llama31_label,llama33_label,llama31_label_v2,llama31_score_v2,llama33_label_v2,llama33_score_v2,llama31_label_v3,llama31_score_v3,llama31_method_v3,llama33_label_v3,llama33_score_v3,llama33_method_v3
Hindi,Science,पानी का रासायनिक सूत्र क्या है?,H2O,H2O,H2O,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance. It is the main constituent of Earth's streams, lakes, and oceans. Water is also the fluid of all known living organisms, in which it acts as a solvent. Water, being a polar molecule, undergoes strong intermolecular hydrogen bonding which is a large contributor to its physical and chemical properties. It is vital for all known forms of life, despite not providing food energy or being an organic micronutrient. Due to its presence in all organisms, its chemical stability, its worldwide abundance, and its strong polarity relative to its small molecular size, water is often referred to as the ""universal solvent"".
Because Earth's surface temperature and pressure is relatively close to water's triple point, water exists on Earth as a solid, a liquid, and a gas. It forms precipitation in the form of rain and aerosols in the form of fog. Clouds consist of suspended droplets of water and ice, its solid state. When finely divided, crystalline ice may precipitate in the form of snow. The gaseous state of water is steam or water vapor.
Water covers about 71% of the Earth's surface, with seas and oceans making up most of the water volume (about 96.5%). Small portions of water occur as groundwater (1.7%), in the glaciers and the ice caps of Antarctica and Greenland (1.7%), and in the air as vapor, clouds (consisting of ice and liquid water suspende",,,0.4831,0.4831,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,Science,प्रकाश की गति कितनी है?,299792458 metres per second,"प्रकाश की गति लगभग 299,792,458 मीटर प्रति सेकंड है।","299,792,458 मीटर प्रति सेकंड।","The speed of light in vacuum, often called simply the speed of light and commonly denoted c, is a universal physical constant exactly equal to 299792458 m⋅s−1. It is exact because, by international agreement, a metre is defined as the length of the path travelled by light in vacuum during a time interval of 1⁄299792458 second. The value 299,792,458 metres per second is approximately 1 billion kilometres per hour; 700 million miles per hour. For other approximations of c valid for various units and size scales see the infobox.
All forms of electromagnetic radiation, including visible light, travel in vacuum at the speed c as do massless particles and field perturbations, such as gravitational waves. The speed of light is the same for all observers, no matter their relative velocity. As a result, massless particles and waves travel at c in a vacuum regardless of the motion of the source or the inertial reference frame of the observer. The speed of light is the upper limit for the speed at which information, matter, or energy can travel through space. Particles with nonzero rest mass can be accelerated to approach c but can never reach it, regardless of the frame of reference in which their speed is measured.
For long distances and sensitive measurements, the finite speed of light has noticeable effects. Much starlight viewed on Earth is from the distant past, allowing humans to study the history of the universe by viewing distant objects. When communicating with distant space p",,,0.5252,0.4727,UNCERTAIN,HALLUCINATED,UNCERTAIN,0.5252,HALLUCINATED,0.4727,UNCERTAIN,0.5252,similarity,HALLUCINATED,0.4727,similarity
Hindi,Science,मानव शरीर में कितनी हड्डियाँ होती हैं?,206,मानव शरीर में 206 हड्डियाँ होती हैं।,206,"Year 206 (CCVI) was a common year starting on Wednesday of the Julian calendar. At the time, it was known as the Year of the Consulship of Umbrius and Gavius (or, less frequently, year 959 Ab urbe condita). The denomination 206 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years.",,,0.3752,0.3779,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,Science,पानी किस तापमान पर उबलता है?,100 degrees Celsius,100 डिग्री सेल्सियस,100 डिग्री सेल्सियस,NOT_FOUND:100 degrees Celsius,,,-1.0,-1.0,UNVERIFIABLE,UNVERIFIABLE,FACTUAL,0.95,FACTUAL,0.95,FACTUAL,0.95,numeric_match,FACTUAL,0.95,numeric_match
Hindi,Science,डीएनए का पूरा नाम क्या है?,Deoxyribonucleic Acid,डीऑक्सीराइबोन्यूक्लिक एसिड (डीएनए),डीऑक्सीराइबोन्यूक्लिक एसिड,"Deoxyribonucleic acid (; DNA) is a polymer composed of two polynucleotide chains that coil around each other to form a double helix. The polymer carries genetic instructions for the development, functioning, growth and reproduction of all known organisms and many viruses. DNA and ribonucleic acid (RNA) are nucleic acids. Alongside proteins, lipids and complex carbohydrates (polysaccharides), nucleic acids are one of the four major types of macromolecules that are essential for all known forms of life.
The two DNA strands are known as polynucleotides as they are composed of simpler monomeric units called nucleotides. Each nucleotide is composed of one of four nitrogen-containing nucleobases (cytosine [C], guanine [G], adenine [A] or thymine [T]), a sugar called deoxyribose, and a phosphate group. The nucleotides are joined to one another in a chain by covalent bonds (known as the phosphodiester linkage) between the sugar of one nucleotide and the phosphate of the next, resulting in an alternating sugar-phosphate backbone. The nitrogenous bases of the two separate polynucleotide strands are bound together, according to base pairing rules (A with T and C with G), with hydrogen bonds to make double-stranded DNA. The complementary nitrogenous bases are divided into two groups, the single-ringed pyrimidines and the double-ringed purines. In DNA, the pyrimidines are thymine and cytosine; the purines are adenine and guanine.
Both strands of double-stranded DNA store the same biologic",,,0.5262,0.3527,UNCERTAIN,HALLUCINATED,UNCERTAIN,0.5262,HALLUCINATED,0.3527,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Constitution,भारतीय संविधान कब लागू हुआ?,26 January 1950,26 जनवरी 1950,26 जनवरी 1950,NOT_FOUND:26 January 1950,,,-1.0,-1.0,UNVERIFIABLE,UNVERIFIABLE,FACTUAL,0.95,FACTUAL,0.95,FACTUAL,0.95,numeric_match,FACTUAL,0.95,numeric_match
Hindi,Constitution,भारतीय संविधान के निर्माता कौन हैं?,Dr. B.R. Ambedkar,भारतीय संविधान के निर्माता डॉ. भीमराव अम्बेडकर हैं।,डॉ. भीमराव अम्बेडकर,"Bhimrao Ramji Ambedkar (14 April 1891 – 6 December 1956) was an Indian jurist, economist, social reformer and politician who chaired the committee that drafted the Constitution of India based on the debates of the Constituent Assembly of India and the first draft of Sir Benegal Narsing Rau. Ambedkar served as Law and Justice minister in the first cabinet of Jawaharlal Nehru. He later renounced Hinduism and converted to Buddhism, inspiring the Dalit Buddhist movement. He was also a member of the Simon Commission in British India.
After graduating from Elphinstone College, University of Bombay, Ambedkar studied economics at Columbia University and the London School of Economics, receiving doctorates in 1927 and 1923, respectively, and was among a handful of Indian students to have done so at either institution in the 1920s. During his time at Columbia University, Ambedkar came under the influence of John Dewey and his philosophy of pragmatism.  He also trained in the law at Gray's Inn, London.  In his early career, he was an economist, professor, and lawyer. His later life was marked by his political activities; he became involved in campaigning and negotiations for partition, publishing journals, advocating political rights and social freedom for Dalits, and contributing to the establishment of the state of India. In 1956, he converted to Buddhism, initiating mass conversions of Dalits.
In 1990, the Bharat Ratna, India's highest civilian award, was posthumously conferred on Am",,,0.624,0.4512,UNCERTAIN,HALLUCINATED,UNCERTAIN,0.624,HALLUCINATED,0.4512,UNCERTAIN,0.624,similarity,HALLUCINATED,0.4512,similarity
Hindi,Constitution,भारत का राष्ट्रीय पशु क्या है?,Bengal Tiger,भारत का राष्ट्रीय पशु बंगाल टाइगर है।,बाघ,"The Bengal tiger is a population of the Panthera tigris tigris subspecies. It ranks among the largest of wild cats. It is distributed from India, southern Nepal, Bangladesh, Bhutan to Southwestern China. Its historical range extended to the Indus Basin until the early 19th century, and it is thought to have been present in the Indian subcontinent since the Late Pleistocene about 12,000 to 16,500 years ago. It is threatened by poaching, habitat loss and habitat fragmentation.
As of 2022, the Bengal tiger population was estimated at 3,167–3,682 individuals in India, 316–355 individuals in Nepal, 131 individuals in Bhutan and around 125 individuals in Bangladesh. It is the national animal of India and Bangladesh.",,,0.5021,0.3481,UNCERTAIN,HALLUCINATED,UNCERTAIN,0.5021,HALLUCINATED,0.3481,FACTUAL,0.9,translated_match,HALLUCINATED,0.3481,similarity
Hindi,Constitution,भारत का राष्ट्रगान किसने लिखा?,Rabindranath Tagore,"रबिंद्रनाथ टैगोर ने भारत का राष्ट्रगान ""जन गण मन"" लिखा था।",रवींद्रनाथ टैगोर,"Rabindranath Tagore  (Bengali: [ɾobind̪ɾonat̪ʰ ʈʰakuɾ] ; 7 May 1861 – 7 August 1941), was a Bengali poet, author, playwright, musician, composer, philosopher, social reformer, painter, and one of the foremost figures of the Bengal Renaissance. In 1913, Tagore became the first Asian to win a Nobel Prize in any category, and also the first lyricist and non-European to win the Nobel Prize in Literature. A significant moulder of culture within Bengal and the Indian subcontinent, he wrote and composed the national anthems of India and Bangladesh.
He reshaped Bengali literature and music as well as Indian art with Contextual Modernism in the late 19th and early 20th centuries. He was the author of the ""profoundly sensitive, fresh and beautiful"" poetry of Gitanjali.  Tagore's poetic songs were viewed as spiritual and mercurial; his elegant prose and magical poetry were widely popular in the Indian subcontinent. He was a fellow of the Royal Asiatic Society. Referred to as ""the Bard of Bengal"", Tagore was known by the sobriquets Gurudeb, Kobiguru, and Bishwokobi.
A Bengali Brahmin from Calcutta with ancestral gentry roots in Jessore and Bardhaman districts, Tagore wrote poetry as an eight-year-old. At the age of sixteen, he released his first substantial poems under the pseudonym Bhānusiṃha (""Sun Lion""), which were seized upon by literary authorities as long-lost classics. By 1877 he graduated to his first short stories and dramas, published under his real name. As a humanist, univers",,,0.5169,0.4165,UNCERTAIN,HALLUCINATED,UNCERTAIN,0.5169,HALLUCINATED,0.4165,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Constitution,भारत के पहले राष्ट्रपति कौन थे?,Dr. Rajendra Prasad,डॉ. राजेंद्र प्रसाद,डॉ. राजेंद्र प्रसाद,"Rajendra Prasad (3 December 1884 – 28 February 1963) was an Indian politician, lawyer, journalist and scholar who served as the first president of India from 1950 to 1962 for two terms. He joined the Indian National Congress during the Indian independence movement and became a major leader from the region of Bihar. A supporter of Mahatma Gandhi, Prasad was imprisoned by British authorities during the Salt Satyagraha of 1930 and the Quit India movement of 1942. After the constituent assembly 1946 elections, Prasad served as 1st Minister of Food and Agriculture in the central government from 1947 to 1948. Upon independence in 1947, Prasad was elected as President of the Constituent Assembly of India, which prepared the Constitution of India and which served as its provisional Parliament.
When India became a republic in 1950, Prasad was elected as its first president by the Constituent Assembly. As president, Prasad established a tradition for non-partisanship and independence for the office-bearer and retired from Congress party politics. Although a ceremonial head of state, Prasad encouraged the development of education in India and advised government on several occasions. In 1957, Prasad was re-elected to the presidency, becoming the only president to serve two full terms. Prasad stayed in office for the longest term of around 12 years. Post the completion of his tenure, he quit the Congress and set up new guidelines for parliamentarians which are still followed.",,,0.4627,0.4627,HALLUCINATED,HALLUCINATED,HALLUCINATED,0.4627,HALLUCINATED,0.4627,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Culture,दीपावली किसकी याद में मनाई जाती है?,Return of Lord Rama to Ayodhya,रावण की पराजय की याद में दीपावली मनाई जाती है।,राम की अयोध्या वापसी की याद में।,NOT_FOUND:Return of Lord Rama to Ayodhya,,,-1.0,-1.0,UNVERIFIABLE,UNVERIFIABLE,UNVERIFIABLE,-1.0,UNVERIFIABLE,-1.0,UNVERIFIABLE,-1.0,no_evidence,UNVERIFIABLE,-1.0,no_evidence
Hindi,Culture,ताजमहल किस शहर में है?,Agra,"आगरा, उत्तर प्रदेश",आगरा,"Agra (; Hindi: Āgarā, pronounced [ˈaːɡɾaː] ) is a city on the banks of the Yamuna river in the Indian state of Uttar Pradesh, about 230 kilometres (140 mi) south-east of the national capital Delhi and 330 km west of the state capital Lucknow. It is also the part of Braj region. With a population of roughly 1.6 million, Agra is the fourth-most populous city in Uttar Pradesh and twenty-third most populous city in India.
Agra's notable historical period began during Sikandar Khan Lodi's reign, but the golden age of the city began with the Mughals in the early 16th century. Agra was the foremost city of the Indian subcontinent and the capital of the Mughal Empire under Mughal emperors Babur, Humayun, Akbar, Jahangir and Shah Jahan. Under Mughal rule, Agra became a centre for learning, arts, commerce, and religion, and saw the construction of the Agra Fort, Sikandra and Agra's most prized monument, the Taj Mahal, constructed between 1632 and 1648 by Shah Jahan in remembrance of his wife Mumtaz Mahal. With the decline of the Mughal empire in the late 18th century, the city fell first to Marathas and later to the East India Company. After Independence, Agra has developed into an industrial town, with a booming tourism industry, along with footwear, leather and other manufacturing. The Taj Mahal and the Agra Fort are UNESCO World Heritage Sites. The city features mild winters, hot and dry summers and a monsoon season, and is famous for its Mughlai cuisine. Agra is part of the Golden ",,,0.4413,0.4046,HALLUCINATED,HALLUCINATED,HALLUCINATED,0.4413,HALLUCINATED,0.4046,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Culture,भरतनाट्यम किस राज्य का नृत्य है?,Tamil Nadu,तमिलनाडु,तमिलनाडु,"Tamil Nadu is the southernmost state of India. The tenth largest Indian state by area and the sixth largest by population, it is the home of the Tamils, who speak the Tamil language, the state's official language and the first to be recognised as a classical language in India. Chennai is the state's largest city and capital.
Located on the south-eastern coast of the Indian peninsula, Tamil Nadu is straddled by the Western Ghats and Deccan Plateau in the west, the Eastern Ghats in the north, the Eastern Coastal Plains lining the Bay of Bengal in the east, the Gulf of Mannar and the Palk Strait to the south-east, the Laccadive Sea at the southern cape of the peninsula, with the river Kaveri bisecting the state. Politically, Tamil Nadu is bound by the Indian states of Kerala, Karnataka, and Andhra Pradesh, and encloses a part of the union territory of Puducherry. It shares an international maritime border with the Northern Province of Sri Lanka at Pamban Island.
Archaeological evidence indicates that the Tamil Nadu region could have been inhabited more than 385,000 years ago by archaic humans. The state has more than 5,500 years of continuous cultural history. Historically, the Tamilakam region was inhabited by Tamil-speaking Dravidian people, who were ruled by several regimes over centuries such as the Sangam era triumvirate of the Cheras, Cholas and Pandyas, the Pallavas (3rd–9th century CE), and the later Vijayanagara Empire (14th–17th century CE). European colonisation began",,,0.4006,0.4006,HALLUCINATED,HALLUCINATED,HALLUCINATED,0.4006,HALLUCINATED,0.4006,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Culture,होली किस ऋतु में मनाई जाती है?,Spring,वसंत ऋतु में,बसंत ऋतु,Spring(s) may refer to:,,,0.3595,0.364,HALLUCINATED,HALLUCINATED,HALLUCINATED,0.3595,HALLUCINATED,0.364,FACTUAL,0.9,translated_match,FACTUAL,0.9,translated_match
Hindi,Culture,कुतुब मीनार कहाँ स्थित है?,New Delhi,"दिल्ली, भारत",दिल्ली,"New Delhi is the capital city of India and a part of the National Capital Territory of Delhi (NCT). New Delhi is the seat of all three branches of the Government of India, hosting the Rashtrapati Bhavan (Presidential Palace), Sansad Bhavan (Parliament House), and the Supreme Court. New Delhi is a municipality within the NCT, administered by the New Delhi Municipal Council (NDMC), which covers mostly Lutyens' Delhi and a few adjacent areas. The municipal area is part of a larger administrative district, the New Delhi district.
Although colloquially Delhi and New Delhi are used interchangeably to refer to the National Capital Territory of Delhi, both are distinct entities, with the municipality and the New Delhi district forming a relatively small part within the megacity of Delhi. The National Capital Region is an even larger entity, comprising the entire NCT along with adjoining districts in the two neighbouring states forming a continuously built-up area with it, including Ghaziabad, Noida, Greater Noida, Meerut, YEIDA City, Gurgaon, and Faridabad.
The foundation stone of New Delhi, south of central Delhi, was laid by George V during the Delhi Durbar of 1911. It was designed by British architects Edwin Lutyens and Herbert Baker. The new capital was inaugurated on 13 February 1931, by Viceroy and Governor-General Irwin.",,,0.3669,0.3795,HALLUCINATED,HALLUCINATED,HALLUCINATED,0.3669,HALLUCINATED,0.3795,HALLUCINATED,0.3669,similarity,HALLUCINATED,0.3795,similarity
Hindi,Personalities,अमर्त्य सेन को नोबेल पुरस्कार किस वर्ष मिला?,1998,1998,1998,"1998 (MCMXCVIII) was a common year starting on Thursday of the Gregorian calendar, the 1998th year of the Common Era (CE) and Anno Domini (AD) designations, the 998th  year of the 2nd millennium, the 98th  year of the 20th century, and the  9th   year of the 1990s decade.  
1998 was designated as the International Year of the Ocean.",,,0.4194,0.4194,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,Personalities,APJ अब्दुल कलाम का जन्म किस वर्ष हुआ?,1931,1931,1931,"1931 (MCMXXXI) was a common year starting on Thursday of the Gregorian calendar, the 1931st year of the Common Era (CE) and Anno Domini (AD) designations, the 931st  year of the 2nd millennium, the 31st  year of the 20th century, and the  2nd   year of the 1930s decade.",,,0.4909,0.4909,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,Personalities,रबींद्रनाथ टैगोर को नोबेल पुरस्कार किस वर्ष मिला?,1913,1913,1913,"1913 (MCMXIII) was a common year starting on Wednesday of the Gregorian calendar and a common year starting on Tuesday of the Julian calendar, the 1913th year of the Common Era (CE) and Anno Domini (AD) designations, the 913th  year of the 2nd millennium, the 13th  year of the 20th century, and the  4th   year of the 1910s decade. As of the start of 1913, the Gregorian calendar was 13 days ahead of the Julian calendar, which remained in localized use until 1923.",,,0.4928,0.4928,HALLUCINATED,HALLUCINATED,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
Hindi,Personalities,सचिन तेंदुलकर ने अंतर्राष्ट्रीय क्रिकेट में कितने टेस्ट शतक बनाए?,51,200 टेस्ट शतक,51,"51 may refer to:

51 (number), the natural number following 50 and preceding 52
The year
51 BC
AD 51
1951
2051
51 (film), a 2011 American horror film directed by Jason Connery
""Fifty-One"", an episode of the American television drama series Breaking Bad
51 (album), a 2012 mixtape by rapper Kool A.D.
""Fifty One"", a song by Karma to Burn from the album V, 2011
51 Nemausa, a main-belt asteroid
The international calling code for Peru",,,0.1492,0.4476,HALLUCINATED,HALLUCINATED,HALLUCINATED,0.1492,FACTUAL,1.0,HALLUCINATED,0.1492,similarity,FACTUAL,1.0,direct_match
Hindi,Personalities,इंदिरा गांधी भारत की प्रधानमंत्री कब बनीं?,1966,1966,1966,"1966 (MCMLXVI) was a common year starting on Saturday of the Gregorian calendar, the 1966th year of the Common Era (CE) and Anno Domini (AD) designations, the 966th  year of the 2nd millennium, the 66th  year of the 20th century, and the  7th   year of the 1960s decade.",,,0.5191,0.5191,UNCERTAIN,UNCERTAIN,FACTUAL,1.0,FACTUAL,1.0,FACTUAL,1.0,direct_match,FACTUAL,1.0,direct_match
